session_key,track,driver,driver_number,lap,pit_duration,team
9955,Spielberg,O PIASTRI,81,53,21.0,McLaren
9963,Montreal,K ANTONELLI,12,14,23.3,Mercedes
9963,Montreal,K ANTONELLI,12,38,23.4,Mercedes
9963,Montreal,K ANTONELLI,12,67,18.2,Mercedes
9963,Montreal,K ANTONELLI,12,68,18.9,Mercedes
9963,Montreal,K ANTONELLI,12,69,18.2,Mercedes
9963,Montreal,F ALONSO,14,15,24.0,AstonMartin
9963,Montreal,F ALONSO,14,50,23.4,AstonMartin
9963,Montreal,F ALONSO,14,66,18.2,AstonMartin
9963,Montreal,F ALONSO,14,67,18.1,AstonMartin
9963,Montreal,F ALONSO,14,68,18.2,AstonMartin
9963,Montreal,F ALONSO,14,69,18.2,AstonMartin
9963,Montreal,C LECLERC,16,28,23.3,Ferrari
9963,Montreal,C LECLERC,16,53,23.8,Ferrari
9963,Montreal,C LECLERC,16,67,18.3,Ferrari
9963,Montreal,C LECLERC,16,68,18.2,Ferrari
9963,Montreal,C LECLERC,16,69,18.2,Ferrari
9963,Montreal,L STROLL,18,24,23.7,AstonMartin
9963,Montreal,L STROLL,18,51,34.7,AstonMartin
9963,Montreal,L STROLL,18,66,23.7,AstonMartin
9963,Montreal,L STROLL,18,67,18.2,AstonMartin
9963,Montreal,L STROLL,18,68,18.2,AstonMartin
9963,Montreal,M VERSTAPPEN,1,12,23.6,RedBull
9963,Montreal,M VERSTAPPEN,1,37,23.1,RedBull
9963,Montreal,M VERSTAPPEN,1,67,18.2,RedBull
9963,Montreal,M VERSTAPPEN,1,68,19.2,RedBull
9963,Montreal,M VERSTAPPEN,1,69,18.3,RedBull
9963,Montreal,Y TSUNODA,22,56,25.1,RedBull
9963,Montreal,Y TSUNODA,22,66,18.2,RedBull
9963,Montreal,Y TSUNODA,22,67,18.2,RedBull
9963,Montreal,Y TSUNODA,22,68,18.2,RedBull
9963,Montreal,L HAMILTON,44,15,23.6,Ferrari
9963,Montreal,L HAMILTON,44,45,23.3,Ferrari
9963,Montreal,L HAMILTON,44,67,18.2,Ferrari
9963,Montreal,L HAMILTON,44,68,18.2,Ferrari
9963,Montreal,L HAMILTON,44,69,18.2,Ferrari
9963,Montreal,L NORRIS,4,29,23.2,McLaren
9963,Montreal,L NORRIS,4,47,23.4,McLaren
9963,Montreal,G RUSSELL,63,13,23.2,Mercedes
9963,Montreal,G RUSSELL,63,42,24.2,Mercedes
9963,Montreal,G RUSSELL,63,67,18.2,Mercedes
9963,Montreal,G RUSSELL,63,68,19.4,Mercedes
9963,Montreal,G RUSSELL,63,69,18.2,Mercedes
9963,Montreal,O PIASTRI,81,16,23.2,McLaren
9963,Montreal,O PIASTRI,81,45,23.1,McLaren
9963,Montreal,O PIASTRI,81,67,26.3,McLaren
9963,Montreal,O PIASTRI,81,68,18.2,McLaren
