session_key,track,driver,driver_number,team,grid,finish_position,status,best_lap_time,pit_count,dnf
9955,Spielberg,Y TSUNODA,22,RedBull,,16.0,,,3,0
9955,Spielberg,L HAMILTON,44,Ferrari,,4.0,,,2,0
9955,Spielberg,L NORRIS,4,McLaren,,1.0,,,2,0
9955,Spielberg,G RUSSELL,63,Mercedes,,5.0,,,2,0
9955,Spielberg,O PIASTRI,81,McLaren,,2.0,,,2,0
9963,Montreal,K ANTONELLI,12,Mercedes,,3.0,,,5,0
9963,Montreal,F ALONSO,14,AstonMartin,,7.0,,,6,0
9963,Montreal,C LECLERC,16,Ferrari,,5.0,,,5,0
9963,Montreal,L STROLL,18,AstonMartin,,17.0,,,5,0
9963,Montreal,M VERSTAPPEN,1,RedBull,,2.0,,,5,0
9963,Montreal,Y TSUNODA,22,RedBull,,12.0,,,4,0
9963,Montreal,L HAMILTON,44,Ferrari,,6.0,,,5,0
9963,Montreal,L NORRIS,4,McLaren,,18.0,,,2,0
9963,Montreal,G RUSSELL,63,Mercedes,,1.0,,,5,0
9963,Montreal,O PIASTRI,81,McLaren,,4.0,,,5,0
9971,Catalunya,K ANTONELLI,12,Mercedes,,,,,2,1
9971,Catalunya,F ALONSO,14,AstonMartin,,9.0,,,3,0
9971,Catalunya,C LECLERC,16,Ferrari,,3.0,,,3,0
9971,Catalunya,M VERSTAPPEN,1,RedBull,,10.0,,,4,0
9971,Catalunya,Y TSUNODA,22,RedBull,,13.0,,,4,0
9971,Catalunya,L HAMILTON,44,Ferrari,,6.0,,,3,0
9971,Catalunya,L NORRIS,4,McLaren,,2.0,,,3,0
9971,Catalunya,G RUSSELL,63,Mercedes,,4.0,,,3,0
9971,Catalunya,O PIASTRI,81,McLaren,,1.0,,,3,0
9979,Monte_Carlo,K ANTONELLI,12,Mercedes,,18.0,,,2,0
9979,Monte_Carlo,F ALONSO,14,AstonMartin,,,,,1,1
9979,Monte_Carlo,C LECLERC,16,Ferrari,,2.0,,,2,0
9979,Monte_Carlo,L STROLL,18,AstonMartin,,15.0,,,2,0
9979,Monte_Carlo,M VERSTAPPEN,1,RedBull,,4.0,,,2,0
9979,Monte_Carlo,Y TSUNODA,22,RedBull,,17.0,,,2,0
9979,Monte_Carlo,L HAMILTON,44,Ferrari,,5.0,,,2,0
9979,Monte_Carlo,L NORRIS,4,McLaren,,1.0,,,2,0
9979,Monte_Carlo,G RUSSELL,63,Mercedes,,11.0,,,3,0
9979,Monte_Carlo,O PIASTRI,81,McLaren,,3.0,,,2,0
9987,Imola,K ANTONELLI,12,Mercedes,,,,,1,1
9987,Imola,F ALONSO,14,AstonMartin,,11.0,,,2,0
9987,Imola,C LECLERC,16,Ferrari,,6.0,,,2,0
9987,Imola,L STROLL,18,AstonMartin,,15.0,,,2,0
9987,Imola,M VERSTAPPEN,1,RedBull,,1.0,,,2,0
9987,Imola,Y TSUNODA,22,RedBull,,10.0,,,1,0
9987,Imola,L HAMILTON,44,Ferrari,,4.0,,,2,0
9987,Imola,L NORRIS,4,McLaren,,2.0,,,2,0
9987,Imola,G RUSSELL,63,Mercedes,,7.0,,,2,0
9987,Imola,O PIASTRI,81,McLaren,,3.0,,,2,0
9998,Shanghai,K ANTONELLI,12,Mercedes,,6.0,,,1,0
9998,Shanghai,F ALONSO,14,AstonMartin,,,,,0,1
9998,Shanghai,C LECLERC,16,Ferrari,,,,,1,1
9998,Shanghai,L STROLL,18,AstonMartin,,9.0,,,1,0
9998,Shanghai,M VERSTAPPEN,1,RedBull,,4.0,,,1,0
9998,Shanghai,L LAWSON,30,RedBull,,12.0,,,2,0
9998,Shanghai,L HAMILTON,44,Ferrari,,,,,2,1
9998,Shanghai,L NORRIS,4,McLaren,,2.0,,,1,0
9998,Shanghai,G RUSSELL,63,Mercedes,,3.0,,,1,0
9998,Shanghai,O PIASTRI,81,McLaren,,1.0,,,1,0
